index,name,sex
368,Elsa,F
369,Gladys,F
370,Matie,F
371,Pearle,F
372,Vesta,F
373,Vinnie,F
374,Antoinette,F
375,Clementine,F
376,Edythe,F
377,Harriette,F
378,Libbie,F
379,Lilian,F
380,Lue,F
381,Lutie,F
382,Magdalena,F
383,Meda,F
384,Rita,F
385,Tena,F
386,Zelma,F
387,Adelia,F
388,Annetta,F
389,Antonia,F
390,Dona,F
391,Elizebeth,F
392,Georgianna,F
393,Gracie,F
394,Iona,F
395,Lessie,F
396,Leta,F
397,Liza,F
398,Mertie,F
399,Molly,F
400,Neva,F
401,Oma,F
402,Alida,F
403,Alva,F
404,Cecile,F
405,Cleo,F
406,Donna,F
407,Ellie,F
408,Ernestine,F
409,Evie,F
410,Frankie,F
411,Helene,F
412,Minna,F
413,Myrta,F
414,Prudence,F
415,Queen,F
416,Rilla,F
417,Savannah,F
418,Tessie,F
419,Tina,F
420,Agatha,F
421,America,F
422,Anita,F
423,Arminta,F
424,Dorothea,F
425,Ira,F
426,Luvenia,F
427,Marjorie,F
428,Maybelle,F
429,Mellie,F
430,Nan,F
431,Pearlie,F
432,Sidney,F
433,Velma,F
434,Clare,F
435,Constance,F
436,Dixie,F
437,Ila,F
438,Iola,F
439,Jimmie,F
440,Louvenia,F
441,Lucia,F
442,Ludie,F
443,Luna,F
444,Metta,F
445,Patsy,F
446,Phebe,F
447,Sophronia,F
448,Adda,F
449,Avis,F
450,Betsy,F
451,Bonnie,F
452,Cecil,F
453,Cordie,F
454,Emmaline,F
455,Ethelyn,F
456,Hortense,F
457,June,F
458,Louie,F
459,Lovie,F
460,Marcella,F
461,Melinda,F
462,Mona,F
463,Odessa,F
464,Veronica,F
465,Aimee,F
466,Annabel,F
467,Ava,F
468,Bella,F
469,Carolina,F
470,Cathrine,F
471,Christena,F
472,Clyde,F
473,Dena,F
474,Dolores,F
475,Eleanore,F
476,Elmira,F
477,Fay,F
478,Frank,F
479,Jenny,F
480,Kizzie,F
481,Lonnie,F
482,Loula,F
483,Magdalene,F
484,Mettie,F
485,Mintie,F
486,Peggy,F
487,Reba,F
488,Serena,F
489,Vida,F
490,Zada,F
491,Abigail,F
492,Celestine,F
493,Celina,F
494,Claudie,F
495,Clemmie,F
496,Connie,F
497,Daisie,F
498,Deborah,F
499,Dessa,F
500,Easter,F
501,Eddie,F
502,Emelia,F
503,Emmie,F
504,Imogene,F
505,India,F
506,Jeanne,F
507,Joan,F
508,Lenore,F
509,Liddie,F
510,Lotta,F
511,Mame,F
512,Nevada,F
513,Rachael,F
514,Sina,F
515,Willa,F
516,Aline,F
517,Beryl,F
518,Charles,F
519,Daisey,F
520,Dorcas,F
521,Edmonia,F
522,Effa,F
523,Eldora,F
524,Eloise,F
525,Emmer,F
526,Era,F
527,Gena,F
528,Henry,F
529,Iris,F
530,Izora,F
531,Lennie,F
532,Lissie,F
533,Mallie,F
534,Malvina,F
535,Mathilde,F
536,Mazie,F
537,Queenie,F
538,Robert,F
539,Rosina,F
540,Salome,F
541,Theodora,F
542,Therese,F
543,Vena,F
544,Wanda,F
545,Wilda,F
546,Altha,F
547,Anastasia,F
548,Besse,F
549,Bird,F
550,Birtie,F
551,Clarissa,F
552,Claude,F
553,Delilah,F
554,Diana,F
555,Emelie,F
556,Erna,F
557,Fern,F
558,Florida,F
559,Frona,F
560,Hilma,F
561,Joseph,F
562,Juliet,F
563,Leonie,F
564,Lugenia,F
565,Mammie,F
566,Manda,F
567,Manerva,F
568,Manie,F
569,Nella,F
570,Paulina,F
571,Philomena,F
572,Rae,F
573,Selina,F
574,Sena,F
575,Theodosia,F
576,Tommie,F
577,Una,F
578,Vernie,F
579,Adela,F
580,Althea,F
581,Amalia,F
582,Amber,F
583,Angelina,F
584,Annabelle,F
585,Anner,F
586,Arie,F
587,Clarice,F
588,Corda,F
589,Corrie,F
590,Dell,F
591,Dellar,F
592,Donie,F
593,Doris,F
594,Elda,F
595,Elinor,F
596,Emeline,F
597,Emilia,F
598,Esta,F
599,Estell,F
600,Etha,F
601,Fred,F
602,Hope,F
603,Indiana,F
604,Ione,F
605,Jettie,F
606,Johnnie,F
607,Josiephine,F
608,Kitty,F
609,Lavina,F
610,Leda,F
611,Letta,F
612,Mahala,F
613,Marcia,F
614,Margarette,F
615,Maudie,F
616,Maye,F
617,Norah,F
618,Oda,F
619,Patty,F
620,Paula,F
621,Permelia,F
622,Rosalia,F
623,Roxanna,F
624,Sula,F
625,Vada,F
626,Winnifred,F
627,Adline,F
628,Almira,F
629,Alvena,F
630,Arizona,F
631,Becky,F
632,Bennie,F
633,Bernadette,F
634,Camille,F
635,Cordia,F
636,Corine,F
637,Dicie,F
638,Dove,F
639,Drusilla,F
640,Elena,F
641,Elenora,F
642,Elmina,F
643,Ethyl,F
644,Evalyn,F
645,Evelina,F
646,Faye,F
647,Huldah,F
648,Idell,F
649,Inga,F
650,Irena,F
651,Jewell,F
652,Kattie,F
653,Lavenia,F
654,Leslie,F
655,Lovina,F
656,Lulie,F
657,Magnolia,F
658,Margeret,F
659,Margery,F
660,Media,F
661,Millicent,F
662,Nena,F
663,Ocie,F
664,Orilla,F
665,Osie,F
666,Pansy,F
667,Ray,F
668,Rosia,F
669,Rowena,F
670,Shirley,F
671,Tabitha,F
672,Thomas,F
673,Verdie,F
674,Walter,F
675,Zetta,F
676,Zoa,F
677,Zona,F
678,Albertina,F
679,Albina,F
680,Alyce,F
681,Amie,F
682,Angela,F
683,Annis,F
684,Carol,F
685,Carra,F
686,Clarence,F
687,Clarinda,F
688,Delphia,F
689,Dillie,F
690,Doshie,F
691,Drucilla,F
692,Etna,F
693,Eugenie,F
694,Eulalia,F
695,Eve,F
696,Felicia,F
697,Florance,F
698,Fronie,F
699,Geraldine,F
700,Gina,F
701,Glenna,F
702,Grayce,F
703,Hedwig,F
704,Jessica,F
705,Jossie,F
706,Katheryn,F
707,Katy,F
708,Lea,F
709,Leanna,F
710,Leitha,F
711,Leone,F
712,Lidie,F
713,Loma,F
714,Lular,F
715,Magdalen,F
716,Maymie,F
717,Minervia,F
718,Muriel,F
719,Neppie,F
720,Olie,F
721,Onie,F
722,Osa,F
723,Otelia,F
724,Paralee,F
725,Patience,F
726,Rella,F
727,Rillie,F
728,Rosanna,F
729,Theo,F
730,Tilda,F
731,Tishie,F
732,Tressa,F
733,Viva,F
734,Yetta,F
735,Zena,F
736,Zola,F
737,Abby,F
738,Aileen,F
739,Alba,F
740,Alda,F
741,Alla,F
742,Alverta,F
743,Ara,F
744,Ardelia,F
745,Ardella,F
746,Arrie,F
747,Arvilla,F
748,Augustine,F
749,Aurora,F
750,Bama,F
751,Bena,F
752,Byrd,F
753,Calla,F
754,Camilla,F
755,Carey,F
756,Carlotta,F
757,Celestia,F
758,Cherry,F
759,Cinda,F
760,Classie,F
761,Claudine,F
762,Clemie,F
763,Clifford,F
764,Clyda,F
765,Creola,F
766,Debbie,F
767,Dee,F
768,Dinah,F
769,Doshia,F
770,Ednah,F
771,Edyth,F
772,Eleanora,F
773,Electa,F
774,Eola,F
775,Erie,F
776,Eudora,F
777,Euphemia,F
778,Evalena,F
779,Evaline,F
780,Faith,F
781,Fidelia,F
782,Freddie,F
783,Golda,F
784,Harry,F
785,Helma,F
786,Hermine,F
787,Hessie,F
788,Ivah,F
789,Janette,F
790,Jennette,F
791,Joella,F
792,Kathryne,F
793,Lacy,F
794,Lanie,F
795,Lauretta,F
796,Leana,F
797,Leatha,F
798,Leo,F
799,Liller,F
800,Lillis,F
801,Louetta,F
802,Madie,F
803,Mai,F
804,Martina,F
805,Maryann,F
806,Melva,F
807,Mena,F
808,Mercedes,F
809,Merle,F
810,Mima,F
811,Minda,F
812,Monica,F
813,Nealie,F
814,Netta,F
815,Nolia,F
816,Nonie,F
817,Odelia,F
818,Ottilie,F
819,Phyllis,F
820,Robbie,F
821,Sabina,F
822,Sada,F
823,Sammie,F
824,Suzanne,F
825,Sybilla,F
826,Thea,F
827,Tressie,F
828,Vallie,F
829,Venie,F
830,Viney,F
831,Wilhelmine,F
832,Winona,F
833,Zelda,F
834,Zilpha,F
835,Adelle,F
836,Adina,F
837,Adrienne,F
838,Albertine,F
839,Alys,F
840,Ana,F
841,Araminta,F
842,Arthur,F
843,Birtha,F
844,Bulah,F
845,Caddie,F
846,Celie,F
847,Charlotta,F
848,Clair,F
849,Concepcion,F
850,Cordella,F
851,Corrine,F
852,Delila,F
853,Delphine,F
854,Dosha,F
855,Edgar,F
856,Elaine,F
857,Elisa,F
858,Ellar,F
859,Elmire,F
860,Elvina,F
861,Ena,F
862,Estie,F
863,Etter,F
864,Fronnie,F
865,Genie,F
866,Georgina,F
867,Glenn,F
868,Gracia,F
869,Guadalupe,F
870,Gwendolyn,F
871,Hassie,F
872,Honora,F
873,Icy,F
874,Isa,F
875,Isadora,F
876,Jesse,F
877,Jewel,F
878,Joe,F
879,Johannah,F
880,Juana,F
881,Judith,F
882,Judy,F
883,Junie,F
884,Lavonia,F
885,Lella,F
886,Lemma,F
887,Letty,F
888,Linna,F
889,Littie,F
890,Lollie,F
891,Lorene,F
892,Louis,F
893,Love,F
894,Lovisa,F
895,Lucina,F
896,Lynn,F
897,Madora,F
898,Mahalia,F
899,Manervia,F
900,Manuela,F
901,Margarett,F
902,Margaretta,F
903,Margarita,F
904,Marilla,F
905,Mignon,F
906,Mozella,F
907,Natalie,F
908,Nelia,F
909,Nolie,F
910,Omie,F
911,Opal,F
912,Ossie,F
913,Ottie,F
914,Ottilia,F
915,Parthenia,F
916,Penelope,F
917,Pinkey,F
918,Pollie,F
919,Rennie,F
920,Reta,F
921,Roena,F
922,Rosalee,F
923,Roseanna,F
924,Ruthie,F
925,Sabra,F
926,Sannie,F
927,Selena,F
928,Sibyl,F
929,Tella,F
930,Tempie,F
931,Tennessee,F
932,Teressa,F
933,Texas,F
934,Theda,F
935,Thelma,F
936,Thursa,F
937,Ula,F
938,Vannie,F
939,Verona,F
940,Vertie,F
941,Wilma,F
952,Edward,M
957,Albert,M
958,Samuel,M
959,David,M
962,Charlie,M
964,Richard,M
965,Andrew,M
966,Daniel,M
967,Ernest,M
968,Will,M
970,Oscar,M
971,Lewis,M
972,Peter,M
973,Benjamin,M
974,Frederick,M
976,Alfred,M
977,Sam,M
978,Roy,M
979,Herbert,M
980,Jacob,M
981,Tom,M
982,Elmer,M
983,Carl,M
985,Howard,M
986,Martin,M
987,Michael,M
988,Bert,M
989,Herman,M
990,Jim,M
992,Harvey,M
993,Earl,M
994,Eugene,M
995,Ralph,M
996,Ed,M
998,Edwin,M
999,Ben,M
1000,Charley,M
1001,Paul,M
1003,Isaac,M
